SENE,SAYI,MEDENI_DURUM
2020,89818,HİÇ EVLENMEDİ
2019,98544,HİÇ EVLENMEDİ
2018,98480,HİÇ EVLENMEDİ
2017,78997,HİÇ EVLENMEDİ
2016,62066,HİÇ EVLENMEDİ
2015,56628,HİÇ EVLENMEDİ
2014,55234,HİÇ EVLENMEDİ
2013,45668,HİÇ EVLENMEDİ
2012,32794,HİÇ EVLENMEDİ
2011,22270,HİÇ EVLENMEDİ
2020,123410,EVLİ
2019,135439,EVLİ
2018,125159,EVLİ
2017,101758,EVLİ
2016,94441,EVLİ
2015,82326,EVLİ
2014,88841,EVLİ
2013,91547,EVLİ
2012,63859,EVLİ
2011,46908,EVLİ
2020,43009,BOSANDI
2019,44910,BOSANDI
2018,40642,BOSANDI
2017,32983,BOSANDI
2016,29405,BOSANDI
2015,28068,BOSANDI
2014,25010,BOSANDI
2013,22842,BOSANDI
2012,17628,BOSANDI
2011,10127,BOSANDI
