Suç türü,Toplam
Ailenin korunmasý tedbirine aykýrýlýk,41016
Askeri Ceza Kanunu'na muhalefet,18114
Ateþli silahlar ve býçaklar ile ilgili suçlar,58320
Cinsel suçlar,45252
Dolandýrýcýlýk,48738
Hakaret,33320
Hýrsýzlýk,297078
Ýcra Ýflas Kanunu'na muhalefet,179531
Kaçakçýlýk,42659
Kiþiyi hürriyetinden yoksun kýlma,27664
Kötü muamele,874
Mala zarar verme,20830
Orman suçlarý,5272
Öldürme,74120
Rüþvet,1293
Sahtecilik,66382
Tehdit,72389
Trafik suçlarý,50346
Uyuþturucu madde ile ilgili suçlar ,178358
Yaðma,86762
Yaralama,260024
Zimmet,2300
